KeyID	SMARTS	KeyDescription
0	?	Dummy key
1	?	Is it an ISOTOPE?
2	[#104]	Is there an Eelement 104 (Rf)?
3	[#32,#33,#34,#50,#51,#52,#82,#83,#84]	Is there an element from group IVa,Va,VIa Rows 4-6?
4	[Ac,Th,Pa,U,Np,Pu,Am,Cm,Bk,Cf,Es,Fm,Md,No,Lr]	Is there an actinide?
5	[Sc,Ti,Y,Zr,Hf]	Is there an element from group IIIB,IVB (Sc...)?
6	[La,Ce,Pr,Nd,Pm,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu]	Is there a Lanthanide?
7	[V,Cr,Mn,Nb,Mo,Tc,Ta,W,Re]	Is there an element from group VB,VIB,VIIB?
8	[!#6;!#1]1~*~*~*~1	Is there a heteroatom in a 4M ring?
9	[Fe,Co,Ni,Ru,Rh,Pd,Os,Ir,Pt]	Is there an element from group VIII (Fe...)?
10	[Be,Mg,Ca,Sr,Ba,Ra]	Is there an element from group IIa (Alkaline earth)?
11	*1~*~*~*~1	Is there a 4M Ring?
12	[Cu,Zn,Ag,Cd,Au,Hg]	Is there an element from Group IB,IIB (Cu..)?
13	[#8]~[#7](~[#6])~[#6]	Is there a nitrone or aminoxyl group?
14	[#16]-[#16]	Is there a disulfide bond?
15	[#8]~[#6](~[#8])~[#8]	Is there an orthoester or carbonate ester?
16	[!#6;!#1]1~*~*~1	Is there a heteroatom in a 3M ring?
17	[#6]#[#6]	Is there an alkyne group?
18	[#5,#13,#31,#49,#81]	Is there an element from group IIIA (B...)?
19	*1~*~*~*~*~*~*~1	Is there a 7M Ring?
20	[#14]	Is there an Si?
21	[#6]=[#6](~[!#6;!#1])~[!#6;!#1]	Is there an alkene C bonded to two heteroatoms?
22	*1~*~*~1	Is there a 3M Ring?
23	[#7]~[#6](~[#8])~[#8]	Is there a carbamate group?
24	[#7]-[#8]	Is there an N-O single bond?
25	[#7]~[#6](~[#7])~[#7]	Is there a methanetriamine or guanidine group?
26	[#6]=;@[#6](@*)@*	Is there an alkene C in a ring that is bonded to two other neighbors by a ring bond?
27	[I]	Is there an I?
28	[!#6;!#1]~[CH2]~[!#6;!#1]	Is there a methylene group bonded to two heteroatoms?
29	[#15]	Is there a P?
30	[#6]~[!#6;!#1](~[#6])(~[#6])~*	Is there a heteroatom bonded to at least four neighbors, three of which are C?
31	[!#6;!#1]~[F,Cl,Br,I]	Is there a heteroatom bonded to a halogen?
32	[#6]~[#16]~[#7]	Is there a S-C-N bond?
33	[#7]~[#16]	Is there an N-S bond?
34	[CH2]=*	Is there a CH2 group involved in a double bond?
35	[Li,Na,K,Rb,Cs,Fr]	Is there an element from group IA (Alkali Metal)?
36	[#16R]	Is there an S-heterocycle?
37	[#7]~[#6](~[#8])~[#7]	Is there a carbamide group?
38	[#7]~[#6](~[#6])~[#7]	Is there a aminal or acetamidine group?
39	[#8]~[#16](~[#8])~[#8]	Is there a sulfonate or sulfite group?
40	[#16]-[#8]	Is there an S-O single bond?
41	[#6]#[#7]	Is there a cyano group?
42	F	Is there a F?
43	[!#6;!#1;!H0]~*~[!#6;!#1;!H0]	Is there an atom with two heteroatom neighbors that are bonded to H?
44	[!#1;!#6;!#7;!#8;!#9;!#14;!#15;!#16;!#17;!#35;!#53]	Is there an atom other than H, C, N, O, Si, P, S, Cl, Br, I?
45	[#6]=[#6]~[#7]	Is there an enamine group?
46	Br	Is there a Br?
47	[#16]~*~[#7]	Is there an atom bonded to both S and N?
48	[#8]~[!#6;!#1](~[#8])(~[#8])	Is there a heteroatom bonded to three O?
49	[!+0]	Is there a charged atom/group?
